seconds_elapsed,z,y,x,a,ave,std
24.49089526,-1.81053098,-0.847808669,2.032874193,2.20257963,1.711693264,0.481372864
24.50087842,-2.335943532,-0.570777442,1.252964172,1.376846434,1.845019228,0.722909359
24.5108606,-2.616587689,-0.652606999,0.742234663,0.988336072,2.243572131,1.256588412
24.52084326,-2.950734304,-1.045961005,0.936674116,1.40406297,2.717548076,1.552736234
24.53082642,-2.989567892,0.339841611,0.951093979,1.009986177,3.083532274,1.629435524
24.54080957,-2.579233233,1.800281243,0.599351502,1.897428464,3.508016111,1.586305541
24.55079248,-2.799831795,2.392962474,0.281855578,2.409504507,3.96105416,1.704183548
24.56077539,-3.22964886,2.074059021,0.140701908,2.078826075,4.476002256,1.921679048
24.5707583,-3.855598739,1.571623879,0.330063729,1.605908989,5.046952101,1.97214836
24.58074072,-3.870364346,1.98365102,0.812108848,2.143453324,5.552884714,1.646574495
24.59072339,-3.442909918,2.6536002,2.336785244,3.535839263,5.782964542,1.272303163
24.60070654,-3.360081997,3.115473615,4.364503954,5.362375464,5.728346919,1.37516122
24.61068945,-3.234356015,2.929078352,4.922558108,5.728095523,5.497063348,1.5942972
24.62067261,-3.492277176,2.523380998,4.390407919,5.063904951,5.282590482,1.690168864
24.63065552,-4.105508442,2.77653509,4.461393718,5.254824547,5.145230122,1.756860567
24.64063745,-4.538777402,3.497038399,5.393278262,6.427808956,5.050968441,1.773658739
24.65062061,-4.563039737,3.965143986,6.435518201,7.558985471,4.898596088,1.713253184
24.66060327,-3.914381767,4.031253996,6.663857001,7.788324525,4.745040671,1.526569836
24.67058643,-3.371103742,3.811562613,5.467846889,6.665235116,4.617817683,1.304505781
24.68056958,-3.35532282,3.169221572,3.115671183,4.444251601,4.649990282,1.357494935
24.69055249,-3.10502704,2.912108513,0.676542002,2.989663036,4.910870767,1.532309932
24.7005354,-2.782052977,2.780128731,-1.253226622,3.049539756,5.258628649,1.44919404
24.71051758,-1.981297735,2.893277555,-2.114110461,3.58336686,5.548931437,1.255402491
24.72050049,-0.043097968,2.590070854,-2.628660697,3.690301354,5.651729442,1.125624293
24.7304834,2.260791553,2.47948808,-3.528069497,4.312207731,5.58676552,1.248942341
24.74046655,4.844550739,3.119126292,-3.784323601,4.904085434,5.367016883,1.598319998
24.75044971,6.71539488,4.915054016,-3.481948966,6.023431297,4.994144598,2.037439349
24.76043237,6.898072584,5.685898103,-3.182774296,6.516094648,4.544558875,2.246063177
24.77041528,5.699942411,6.285770123,-3.050691638,6.986961107,4.189236357,2.186326716
24.78039746,4.158865062,6.470035972,-2.807888844,7.053056447,3.802091823,1.990654373
24.79038037,2.673577697,5.921134262,-2.601035608,6.467241852,3.285337946,1.733816256
24.80036353,1.206125994,5.259771709,-2.787088633,5.952567637,2.833846307,1.402681393
24.81034644,-0.672356094,3.971838515,-2.342865587,4.611346913,2.513739366,0.945030414
24.82032959,-2.192924616,2.7124183,-1.374195473,3.040662137,2.370768027,0.690835869
24.8303125,-1.922658499,1.926488287,-0.872175048,2.114721361,2.423438176,0.756827817
24.84029541,0.3819909,1.174557574,-0.043493689,1.175362581,2.604602148,0.869663774
24.85027759,3.9048979,0.821333919,1.287980248,1.527574065,2.891212135,0.822407425
24.86026025,5.770445688,0.608888854,2.899629263,2.96286947,3.128704331,0.732304623
24.87024341,4.150899198,-0.394975469,3.09037746,3.115515762,3.254412443,0.797997025
24.88022656,1.737861904,-1.335273037,1.331248604,1.885517682,3.432110231,0.933608335
24.89020947,1.179881107,-1.91205761,-0.394474826,1.952325458,3.788905503,0.955885191
24.90019214,2.002441353,-2.076244549,-1.805533464,2.751498231,4.208117467,0.97751311
24.91017554,3.166371443,-2.157362743,-2.338499062,3.181633522,4.603299259,1.099904958
24.92015747,4.073080629,-2.412598318,-2.627822785,3.567363624,4.980978355,1.191510617
